   3.0004006e-01   5.9865863e-01   9.0610650e-01   1.1944810e+00   1.5037625e+00   1.8079202e+00   2.0757701e+00   2.3833029e+00   2.6741099e+00   3.0004006e+00   3.2898739e+00
   1.7983468e-01   3.5881735e-01   5.4309204e-01   7.1593474e-01   9.0130844e-01   1.0836111e+00   1.2441520e+00   1.4284776e+00   1.6027782e+00   1.7983468e+00   1.9718480e+00
   1.8685576e-01   3.7282626e-01   5.6429538e-01   7.4388619e-01   9.3649722e-01   1.1259173e+00   1.2927260e+00   1.4842481e+00   1.6653537e+00   1.8685576e+00   2.0488327e+00
   6.5084027e-01   1.2985971e+00   1.9655062e+00   2.5910418e+00   3.2619283e+00   3.9217004e+00   4.5027145e+00   5.1698080e+00   5.8006200e+00   6.5084027e+00   7.1363216e+00
   2.1746329e-01   4.3389631e-01   6.5672864e-01   8.6573696e-01   1.0898983e+00   1.3103459e+00   1.5044784e+00   1.7273723e+00   1.9381436e+00   2.1746329e+00   2.3844376e+00
   4.1467009e-01   8.2737560e-01   1.2522836e+00   1.6508314e+00   2.0782735e+00   2.4986344e+00   2.8688161e+00   3.2938416e+00   3.6957511e+00   4.1467009e+00   4.5467671e+00
   2.5093689e-01   5.0068492e-01   7.5781730e-01   9.9899776e-01   1.2576637e+00   1.5120443e+00   1.7360591e+00   1.9932626e+00   2.2364774e+00   2.5093689e+00   2.7514683e+00
   1.1858157e-01   2.3660134e-01   3.5811062e-01   4.7208174e-01   5.9431570e-01   7.1452463e-01   8.2038404e-01   9.4192690e-01   1.0568594e+00   1.1858157e+00   1.3002211e+00
   1.9633877e-01   3.9174734e-01   5.9293359e-01   7.8163870e-01   9.8402483e-01   1.1830581e+00   1.3583324e+00   1.5595742e+00   1.7498711e+00   1.9633877e+00   2.1528118e+00
   8.3114054e-01   1.6583434e+00   2.5100043e+00   3.3088301e+00   4.1655703e+00   5.0081170e+00   5.7500877e+00   6.6019840e+00   7.4075479e+00   8.3114054e+00   9.1132748e+00
   2.2038521e-01   4.3972630e-01   6.6555269e-01   8.7736932e-01   1.1045425e+00   1.3279522e+00   1.5246931e+00   1.7505819e+00   1.9641852e+00   2.2038521e+00   2.4164758e+00
   3.1724189e-01   6.3298079e-01   9.5805520e-01   1.2629627e+00   1.5899759e+00   1.9115714e+00   2.1947777e+00   2.5199419e+00   2.8274213e+00   3.1724189e+00   3.4784882e+00
   4.7481989e-01   9.4739024e-01   1.4339332e+00   1.8902920e+00   2.3797367e+00   2.8610728e+00   3.2849511e+00   3.7716285e+00   4.2318368e+00   4.7481989e+00   5.2062966e+00
   4.4574270e-01   8.8937362e-01   1.3461214e+00   1.7745337e+00   2.2340055e+00   2.6858654e+00   3.0837861e+00   3.5406601e+00   3.9726860e+00   4.4574270e+00   4.8874715e+00
   1.5745885e-01   3.1417170e-01   4.7551811e-01   6.2685496e-01   7.8916364e-01   9.4878337e-01   1.0893491e+00   1.2507401e+00   1.4033534e+00   1.5745885e+00   1.7265019e+00
   2.7208618e-01   5.4288329e-01   8.2168711e-01   1.0831946e+00   1.3636612e+00   1.6394813e+00   1.8823764e+00   2.1612573e+00   2.4249706e+00   2.7208618e+00   2.9833656e+00
   1.2966189e+00   2.5870949e+00   3.9157265e+00   5.1619329e+00   6.4984885e+00   7.8129016e+00   8.9704113e+00   1.0299410e+01   1.1556128e+01   1.2966189e+01   1.4217144e+01
   5.1372786e-01   1.0250218e+00   1.5514333e+00   2.0451875e+00   2.5747385e+00   3.0955165e+00   3.5541285e+00   4.0806855e+00   4.5786044e+00   5.1372786e+00   5.6329140e+00
